      N       K     M |  base_ms  base_TF      base_tile |   mbs_ms   mbs_TF       mbs_tile | overhead%
   7168    7168    64 |    0.019    351.6 (32, 128, 256) |    0.033    200.2 (16, 128, 256) |      75.6
   7168    7168   128 |    0.021    612.2 (32, 128, 256) |    0.042    313.7 (16, 128, 256) |      95.2
   7168    7168   256 |    0.023   1143.8 (64, 128, 256) |    0.060    438.3 (16, 128, 256) |     160.9
   7168    7168   512 |    0.036   1478.9 (64, 128, 128) |    0.094    558.4 (32, 128, 256) |     164.8
   7168    7168  1024 |    0.046   2290.5 (64, 128, 256) |    0.143    736.3 (64, 256, 128) |     211.1
   7168    7168  1536 |    0.061   2598.0 (128, 256, 128) |    0.199    794.8 (64, 256, 128) |     226.9
   7168    7168  2048 |    0.066   3208.0 (128, 256, 128) |    0.260    809.7 (64, 256, 128) |     296.2
   7168    7168  3000 |    0.118   2603.1 (128, 256, 128) |    0.376    818.9 (64, 256, 128) |     217.9
  36864    7168    64 |    0.039    866.0 (64, 256, 128) |    0.078    432.0 (32, 128, 256) |     100.5
  36864    7168   128 |    0.044   1533.6 (128, 128, 128) |    0.132    511.7 (32, 128, 256) |     199.7
  36864    7168   256 |    0.058   2320.3 (128, 256, 128) |    0.197    685.6 (64, 256, 128) |     238.4
  36864    7168   512 |    0.119   2273.2 (128, 256, 128) |    0.344    786.6 (64, 256, 128) |     189.0
  36864    7168  1024 |    0.208   2598.8 (128, 256, 128) |    0.568    953.5 (64, 256, 128) |     172.6
  36864    7168  1536 |    0.296   2743.6 (128, 256, 128) |    0.817    993.1 (64, 256, 128) |     176.2
  36864    7168  2048 |    0.369   2937.0 (128, 256, 128) |    1.030   1051.0 (64, 256, 128) |     179.5
  36864    7168  3000 |    0.567   2794.9 (128, 256, 128) |    1.522   1041.6 (64, 256, 128) |     168.3
   7168    2048    64 |    0.007    278.6 (32, 128, 256) |    0.012    153.4 (32, 128, 256) |      81.6
   7168    2048   128 |    0.007    537.6 (64, 128, 256) |    0.015    256.8 (32, 128, 256) |     109.3
   7168    2048   256 |    0.008    927.2 (64, 128, 256) |    0.020    374.5 (64, 128, 128) |     147.6
   7168    2048   512 |    0.012   1233.1 (128, 128, 128) |    0.030    500.3 (16, 128, 256) |     146.5
   7168    2048  1024 |    0.018   1644.3 (64, 128, 256) |    0.045    665.3 (64, 256, 128) |     147.2
   7168    2048  1536 |    0.023   1964.6 (128, 128, 128) |    0.061    734.2 (64, 256, 128) |     167.6
   7168    2048  2048 |    0.025   2406.1 (128, 256, 128) |    0.077    782.0 (64, 256, 128) |     207.7
   7168    2048  3000 |    0.039   2238.6 (128, 256, 128) |    0.118    748.4 (64, 256, 128) |     199.1

DONE.
DONE
